2021-08-31 08:57:14,401 [main] WARN  [org.springframework.data.convert.CustomConversions] CustomConversions.java:260 - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2021-08-31 08:57:14,549 [main] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] OptionalLiveReloadServer.java:58 - LiveReload server is running on port 35729
2021-08-31 08:57:14,689 [main] WARN  [org.springframework.data.convert.CustomConversions] CustomConversions.java:260 - Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
2021-08-31 08:57:16,962 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-08-31 08:57:18,309 [main] INFO  [o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration] DiscoveryClientOptionalArgsConfiguration.java:68 - Eureka HTTP Client uses RestTemplate.
2021-08-31 08:57:18,767 [main] WARN  [o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger] LoadBalancerCacheAutoConfiguration.java:82 - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-08-31 08:57:18,858 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory] InstanceInfoFactory.java:67 - Setting initial instance status as: STARTING
2021-08-31 08:57:18,906 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:372 - Initializing Eureka in region us-east-1
2021-08-31 08:57:18,914 [main] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver] ConfigClusterResolver.java:43 - Resolving eureka endpoints via configuration
2021-08-31 08:57:18,953 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1007 - Disable delta property : false
2021-08-31 08:57:18,953 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1008 - Single vip registry refresh property : null
2021-08-31 08:57:18,953 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1009 - Force full registry fetch : false
2021-08-31 08:57:18,954 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1010 - Application is null : false
2021-08-31 08:57:18,954 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1011 - Registered Applications size is zero : true
2021-08-31 08:57:18,955 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1013 - Application version is -1: true
2021-08-31 08:57:18,955 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1097 - Getting all instance registry info from the eureka server
2021-08-31 08:57:19,431 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1106 - The response status is 200
2021-08-31 08:57:19,434 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1321 - Starting heartbeat executor: renew interval is: 5
2021-08-31 08:57:19,437 [main] INFO  [com.netflix.discovery.InstanceInfoReplicator] InstanceInfoReplicator.java:60 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-08-31 08:57:19,443 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:492 - Discovery Client initialized at timestamp 1630371439441 with initial instances count: 0
2021-08-31 08:57:19,446 [main] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry] EurekaServiceRegistry.java:41 - Registering application FZC-STOCK-US with eureka with status UP
2021-08-31 08:57:19,447 [main] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1352 - Saw local status change event StatusChangeEvent [timestamp=1630371439447, current=UP, previous=STARTING]
2021-08-31 08:57:19,450 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:873 - DiscoveryClient_FZC-STOCK-US/FLAMENCO-XXX:fzc-stock-us:8084: registering service...
2021-08-31 08:57:19,478 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8084 (http) with context path ''
2021-08-31 08:57:19,480 [main] INFO  [o.s.c.n.e.s.EurekaAutoServiceRegistration] EurekaAutoServiceRegistration.java:144 - Updating port to 8084
2021-08-31 08:57:19,603 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:882 - DiscoveryClient_FZC-STOCK-US/FLAMENCO-XXX:fzc-stock-us:8084 - registration status: 204
2021-08-31 08:57:19,859 [main] INFO  [com.fzc.fzcstockus.FzcStockUsApplication] StartupInfoLogger.java:61 - Started FzcStockUsApplication in 10.321 seconds (JVM running for 16.065)
2021-08-31 08:57:49,445 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1007 - Disable delta property : false
2021-08-31 08:57:49,445 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1008 - Single vip registry refresh property : null
2021-08-31 08:57:49,445 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1009 - Force full registry fetch : false
2021-08-31 08:57:49,446 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1010 - Application is null : false
2021-08-31 08:57:49,446 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1011 - Registered Applications size is zero : true
2021-08-31 08:57:49,446 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1013 - Application version is -1: false
2021-08-31 08:57:49,446 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1097 - Getting all instance registry info from the eureka server
2021-08-31 08:57:49,472 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient] DiscoveryClient.java:1106 - The response status is 200
2021-08-31 08:58:12,885 [http-nio-8084-exec-2] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-08-31 08:58:12,886 [http-nio-8084-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2021-08-31 08:58:12,887 [http-nio-8084-exec-2] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 1 ms
2021-08-31 08:58:13,123 [http-nio-8084-exec-2] INFO  [org.mongodb.driver.connection] SLF4JLogger.java:71 - Opened connection [connectionId{localValue:3, serverValue:21}] to localhost:27017
2021-08-31 08:58:14,598 [http-nio-8084-exec-2] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:89 - 当前页码：10总页数：1
2021-08-31 08:58:14,599 [http-nio-8084-exec-2] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:90 - Page 2 of 1 containing UNKNOWN instances
2021-08-31 08:58:15,059 [http-nio-8084-exec-2] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:270 - 成功调用美股排行数据
2021-08-31 08:58:15,152 [http-nio-8084-exec-2] INFO  [com.fzc.fzcstockus.aspectj.AopLog] AopLog.java:85 - Request Log Info : {"threadId":"163","classMethod":"com.fzc.fzcstockus.controller.StockRankUsController.searchUsRank","os":"UNKNOWN","ip":"0:0:0:0:0:0:0:1","browser":"UNKNOWN","requestParams":{"node":"XNYS","code":"ib","pageIndex":1,"pageSize":10,"sort":"symbol"},"userAgent":"PostmanRuntime/7.28.4","httpMethod":"GET","timeCost":2157,"threadName":"http-nio-8084-exec-2","url":"http://localhost:8084/UsRank/Financial"}
2021-08-31 08:58:57,799 [http-nio-8084-exec-3] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:89 - 当前页码：10总页数：24
2021-08-31 08:58:57,799 [http-nio-8084-exec-3] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:90 - Page 2 of 24 containing com.fzc.fzcstockus.DO.StockUsInfoDo instances
2021-08-31 08:58:58,579 [http-nio-8084-exec-3] INFO  [c.fzc.fzcstockus.controller.StockRankUsController] StockRankUsController.java:270 - 成功调用美股排行数据
